NOMBRE,VEGETACION,CLIMA
Alan,Mangrove tree,Tropical
Alessandra,Easter orchid,Tropical
Alexa,Dogwood,Tropical
Alma,Bleeding Heart,Tropical
Anabelle,Huckleberry,Tropical
Analise,Coneflower,Tropical
Anthony,Kauila,Tropical
Audrey,Thistle,Tropical
Bryon,Cherry,Polar
Caitlyn,Elephant Ear,Polar
Caleb,Thistle,Polar
Carissa,Banyan,Mediterraneo
Carl,Primrose,Mediterraneo
Carolyn,Lucky Bamboo,Seco
Cecilia,Kentia Palm Plant,Seco
Chris,Tulip,Seco
Christy,Fig,Subtropical
Claire,Clarkia,Subtropical
Clarissa,Cucumber,Subtropical
Dalia,Huckleberry,Subtropical
Daniel,Goldenrod,Templado
Darlene,Columbine,Continental
Denny,Goldenglow,Continental
Eden,Columbine,Continental
Elijah,Catmint,Continental
Ember,Indian paintbrush,Tropical
Emma,Soapwort,Tropical
Enoch,Dogwood,Tropical
Esmeralda,Agapanthus,Tropical
Grace,Bramble,Tropical
Gwen,Bee Balm Flower,Tropical
Hanna,Columbine,Tropical
Harry,Goldenglow,Tropical
Harvey,Arrowwood,Polar
Hayden,Cabbage,Polar
Jacob,Bellflower,Polar
Janelle,Cactus,Mediterraneo
Javier,Candytuft,Mediterraneo
John,Water Lily,Seco
Johnathan,Snowflake,Seco
Julian,Chestnut,Seco
Kaylee,Bindweed,Subtropical
Kimberly,Vervain,Subtropical
Lana,Water Lily,Subtropical
Lara,Cabbage,Subtropical
Leslie,Urn Plant,Templado
Logan,Vervain,Continental
Lorraine,Buttercup,Continental
Lucas,Goldenrod,Continental
Marigold,Apple,Continental
Marilyn,Elephant Ear,Tropical
Mark,Thistle,Tropical
Martha,Nemesia,Tropical
Martin,Goldenrod,Tropical
Mason,Hedge plant,Tropical
Matthew,Easter orchid,Tropical
Maxwell,Chinese Evergreen,Tropical
Mayleen,Banyan,Tropical
Michael,Bellflower,Polar
Morgan,Cup Flower,Polar
Nathan,Red Hot Poker Plant,Polar
Nicholas,Columbine,Mediterraneo
Noah,Bindweed,Mediterraneo
Norah,Kentia Palm Plant,Seco
Paige,Red Hot Poker Plant,Seco
Percy,Gillyflower,Seco
Peter,Manzanita,Subtropical
Phillip,Narcissus,Subtropical
Rick,Eucalyptus,Subtropical
Rihanna,Ambrosia,Subtropical
Rocco,Cactus,Templado
Roger,Groundberry,Continental
Ronald,Goldenglow,Continental
Rosalie,Cabbage,Continental
Rosalyn,Bee Balm Flower,Continental
Ryan,Bellflower,Mediterraneo
Sabina,Chestnut,Seco
Sarah,Rosemary,Seco
Sonya,Madagascar Dragon Tree,Seco
Stella,Dindle,Subtropical
Tiffany,Bluebonnet,Subtropical
Tom,Easter orchid,Subtropical
Tyler,Lily,Subtropical
Vanessa,Clarkia,Templado
Wendy,Apricot,Continental
Zara,Fig,Continental
Zoe,Columbine,Continental
